DEPARTURE_HOUR,TOTAL_FLIGHTS,AVG_ARRIVAL_DELAY,DELAY_RATE_PCT
0,14504,0.81,15.18
1,5091,3.89,18.01
2,1383,1.82,16.49
3,767,1.73,17.08
4,526,3.7,19.01
5,115647,-3.78,6.9
6,398508,-2.61,8.58
7,387719,-1.5,10.66
8,374828,-0.19,12.29
9,346299,0.97,13.58
10,366008,2.17,14.77
11,352601,2.88,15.72
12,349867,3.8,16.88
13,357775,5.01,18.28
14,323785,6.31,20.05
15,361296,7.02,20.71
16,327416,8.1,22.29
17,382551,9.03,23.67
18,326997,9.89,25.1
19,324418,10.11,25.45
20,253612,9.78,25.52
21,183406,8.06,23.58
22,115358,6.22,22.09
23,43646,3.12,18.41
